estrutura_central_15,estrutura_central_20,estrutura_central_21,escada_dupla_subir_1,escada_dupla_subir_2,estrutura_central_15,estrutura_central_16,estrutura_central_16,estrutura_central_16,estrutura_central_18,estrutura_central_19,estrutura_central_20,estrutura_central_18,estrutura_central_16,estrutura_central_16,estrutura_central_18,estrutura_central_19,estrutura_central_20,estrutura_central_21,parede_direita
estrutura_central_22,estrutura_central_27,estrutura_central_28,escada_dupla_subir_3,escada_dupla_subir_4,estrutura_central_22,estrutura_central_23,estrutura_central_23,estrutura_central_23,estrutura_central_25,estrutura_central_26,estrutura_central_27,estrutura_central_25,estrutura_central_23,estrutura_central_23,estrutura_central_25,estrutura_central_26,estrutura_central_27,estrutura_central_28,parede_direita
estrutura_central_29,estrutura_central_34,estrutura_central_35,escada_dupla_subir_5,escada_dupla_subir_6,estrutura_central_29,estrutura_central_30,estrutura_central_30,estrutura_central_30,estrutura_central_32,estrutura_central_33,estrutura_central_34,estrutura_central_32,estrutura_central_30,estrutura_central_30,estrutura_central_32,estrutura_central_33,estrutura_central_34,estrutura_central_35,parede_direita
parede_esquerda,chao2,chao2,chao4,chao4,bueiro_s_agua,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,bueiro_s_agua,parede_direita
parede_esquerda,chao2,chao2,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao2,chao2,parede_direita
parede_esquerda,chao2,chao2,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao2,chao2,parede_direita
parede_esquerda,bueiro_c_agua,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,chao2,bueiro_c_agua,chao2,chao2,chao4,chao4,chao2,chao2,parede_direita
estrutura_central_1,estrutura_central_2,estrutura_central_3,estrutura_central_4,estrutura_central_5,estrutura_central_6,estrutura_central_4,estrutura_central_2,estrutura_central_3,estrutura_central_4,estrutura_central_5,estrutura_central_6,estrutura_central_7,chao2,chao2,chao4,chao4,chao2,chao2,parede_direita
estrutura_central_8,estrutura_central_9,estrutura_central_10,estrutura_central_11,estrutura_central_12,estrutura_central_13,estrutura_central_11,estrutura_central_9,estrutura_central_10,estrutura_central_11,estrutura_central_12,estrutura_central_13,estrutura_central_14,chao2,chao2,chao4,chao4,chao2,chao2,parede_direita
estrutura_central_15,estrutura_central_16,estrutura_central_17,estrutura_central_18,estrutura_central_19,estrutura_central_20,estrutura_central_18,estrutura_central_16,estrutura_central_17,estrutura_central_18,estrutura_central_19,estrutura_central_20,estrutura_central_21,chao2,chao2,chao4,chao4,chao2,chao2,parede_direita
estrutura_central_22,estrutura_central_23,estrutura_central_24,estrutura_central_25,estrutura_central_26,estrutura_central_27,estrutura_central_25,estrutura_central_23,estrutura_central_24,estrutura_central_25,estrutura_central_26,estrutura_central_27,estrutura_central_28,chao2,chao2,chao4,chao4,chao2,chao2,parede_direita
estrutura_central_29,estrutura_central_30,estrutura_central_31,estrutura_central_32,estrutura_central_33,estrutura_central_34,estrutura_central_32,estrutura_central_30,estrutura_central_31,estrutura_central_32,estrutura_central_33,estrutura_central_34,estrutura_central_35,bueiro_c_agua,chao2,chao4,chao4,chao2,chao2,parede_direita
parede_esquerda,bueiro_c_agua,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao2,chao2,parede_direita
parede_esquerda,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao4,chao2,chao2,parede_direita
parede_esquerda,parede_horizontal,parede_horizontal,parede_horizontal,chao5,parede_horizontal,parede_direita,parede_horizontal,chao5,parede_horizontal,parede_horizontal,parede_horizontal,parede_direita,chao2,chao2,chao2,chao2,chao2,chao2,parede_direita
parede_esquerda,chao5,chao5,chao5,chao5,chao5,parede_direita,chao5,chao5,chao5,chao5,chao5,parede_direita,chao2,chao2,chao2,chao2,chao2,chao2,parede_direita
parede_esquerda,chao5,chao5,chao5,chao5,chao5,parede_direita,chao5,chao5,chao5,chao5,chao5,parede_direita,chao2,chao2,chao2,chao2,chao2,chao2,parede_direita
parede_esquerda,chao5,chao5,chao5,chao5,chao5,parede_direita,chao5,chao5,chao5,chao5,chao5,parede_direita,chao2,bueiro_s_agua,bueiro_s_agua,bueiro_s_agua,bueiro_s_agua,chao2,parede_direita
parede_esquerda,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_horizontal,parede_direita
void,void,void,void,void,void,void,void,void,void,void,void,void,void,void,void,void,void,void,void
